source_kind,source_path,source_sha256,target_path,current_sha256,current_size_bytes,decision
Git包恢复,AI测试/网页人工路径/00_项目入口与交付清单_v0.1.0.md,9ed4f6d7896ae2e6edf76fa46e0887128ec48754aa479c9cf48cb96a81b86107,AI测试/网页人工路径/00_项目入口与交付清单_v0.1.0.md,9ed4f6d7896ae2e6edf76fa46e0887128ec48754aa479c9cf48cb96a81b86107,2740,保留
Git包恢复,AI测试/网页人工路径/01_使用与接入指南_v0.1.0.md,387275d77b05622b4f729b6926a83572ffc9343198f659f935c1c07c09925264,AI测试/网页人工路径/01_使用与接入指南_v0.1.0.md,387275d77b05622b4f729b6926a83572ffc9343198f659f935c1c07c09925264,9877,保留
Git包恢复,AI测试/网页人工路径/02_实现说明与边界_v0.1.0.md,024df98ab4c5afb2ae9aa71396e442e4d0be9b9f2e6b728a1c70fa9317cf449a,AI测试/网页人工路径/02_实现说明与边界_v0.1.0.md,024df98ab4c5afb2ae9aa71396e442e4d0be9b9f2e6b728a1c70fa9317cf449a,7031,保留
Git包恢复,AI测试/网页人工路径/03_实际验证报告_v0.1.0.md,0ccf3d020eeee4b89cfa0943e550aee92b9e3c4754bad189b4fdaf75f8685937,AI测试/网页人工路径/03_实际验证报告_v0.1.0.md,0ccf3d020eeee4b89cfa0943e550aee92b9e3c4754bad189b4fdaf75f8685937,7614,保留
Git包恢复,AI测试/网页人工路径/AI人工路径测试自动化_完整包_2026-09-17.zip,5ba92224544078dc9c34be5b48889dd709dae4cc3c48961eccf91dec3f6c6ab1,交付包/历史版本/网页人工路径/AI人工路径测试自动化_完整包_2026-09-17.zip,5ba92224544078dc9c34be5b48889dd709dae4cc3c48961eccf91dec3f6c6ab1,78668429,归档/调整位置
Git包恢复,AI测试/网页人工路径/AI人工路径测试自动化_实测证据_v0.1.0.zip,0574e1f0e58df92226f544b119e3f7acd90b8fc925fb9c8854f2ae6d81f9b924,AI测试/网页人工路径/AI人工路径测试自动化_实测证据_v0.1.0.zip,0574e1f0e58df92226f544b119e3f7acd90b8fc925fb9c8854f2ae6d81f9b924,78463971,保留
Git包恢复,AI测试/网页人工路径/AI人工路径测试自动化_架构设计与MVP实施方案_v1.0_2026-09-13.md,22453bf9ef3f8371a7991f22689e3136d8d52394f6910cb06d2e9723a45426fa,AI测试/网页人工路径/AI人工路径测试自动化_架构设计与MVP实施方案_v1.0_2026-09-13.md,22453bf9ef3f8371a7991f22689e3136d8d52394f6910cb06d2e9723a45426fa,68631,保留
Git包恢复,AI测试/网页人工路径/AI人工路径测试自动化_源码与安装包_v0.1.0.zip,0bc09ce0f000a941445ff2a65ac75e48db449f9a68fe314e5659b1137da07c1e,交付包/专项包/网页人工路径/AI人工路径测试自动化_源码与安装包_v0.1.0.zip,0bc09ce0f000a941445ff2a65ac75e48db449f9a68fe314e5659b1137da07c1e,186785,归档/调整位置
Git包恢复,AI测试/网页人工路径/README.md,4aa2fc5820fa8f0c48e3051802e459a33f56c6cf66eaa6392afa5afb9f5a0a22,AI测试/网页人工路径/README.md,ee73418310635732056e9f6a1194453276264a7ce9d76cf2461bd63e2f579664,1295,保留；已调整导航/现行记录，原输入仍由来源包或历史版本保留
Git包恢复,AI解释/00_AI解释_两档模式与测试增强规范.md,72dd897d71ea0ca0346ed63aa2404df799deffd170051325f5eab5d226c3db1b,AI解释/00_AI解释_两档模式与测试增强规范.md,72dd897d71ea0ca0346ed63aa2404df799deffd170051325f5eab5d226c3db1b,9153,保留
Git包恢复,AI解释/README.md,d159186e8df546acc8ef3bc7f6931068101a0c59558315ab2027537acce543cc,AI解释/README.md,8ed8eac4aa9b4ea8a92902b84057a36bfb95b84226f1464cad9292800bc149fd,1440,保留
Git包恢复,AI解释/参考规范/08_阶段2_AI解释MVP_外置Skill_v1.0.md,2390acb8b304af69c5d9bf7f43caee7670460657c59aabe73dde7b5774838089,AI解释/参考规范/08_阶段2_AI解释MVP_外置Skill_v1.0.md,2390acb8b304af69c5d9bf7f43caee7670460657c59aabe73dde7b5774838089,2295,保留
Git包恢复,AI解释/参考规范/15_AnalysisTaskBundle与ResultBundle数据契约_v1.0.md,e064182a8a65ba5236154d7a51478021c8c5da630cbdb220a64cb564a13bb0f6,AI解释/参考规范/15_AnalysisTaskBundle与ResultBundle数据契约_v1.0.md,e064182a8a65ba5236154d7a51478021c8c5da630cbdb220a64cb564a13bb0f6,2891,保留
Git包恢复,AI解释/参考规范/22_beh_diagram_analysis_Skill设计_v1.0.md,9dec5a184214e9ecb14641b14390592d7f6fd933d4930307f3a1dc652da4a414,AI解释/参考规范/22_beh_diagram_analysis_Skill设计_v1.0.md,9dec5a184214e9ecb14641b14390592d7f6fd933d4930307f3a1dc652da4a414,2829,保留
Git包恢复,README.md,696cec4c7395b673d58bd3286e812835693d48fa81225df264b6bfc6a8ef8366,README.md,7e01868db804ed7ae564284cc5ee7cd1cbd102cbd92efb8679200b50688c0fde,3703,保留；已调整导航/现行记录，原输入仍由来源包或历史版本保留
Git包恢复,tools/verify_workspace.py,362a4aadedb18ba13d63132b36c6fc08134298e1eef6996af69058b05118f51e,tools/verify_workspace.py,47a7f82585e71510be93bc8f398ba79122b5e7e7bf42276fb0704d41b773d49d,4334,保留；已调整导航/现行记录，原输入仍由来源包或历史版本保留
Git包恢复,从这里开始.md,5343101861fc9ca81b75c939e9693610a645f1a19e21bb58bcccb3998e94e014,历史资料/旧入口/统一工作区_从这里开始_2026-09-17.md,02ca48577792b99e979a9652821a4df307e1921d84790c4a1ee68c293fdf8d5e,136,归档/调整位置；已调整导航/现行记录，原输入仍由来源包或历史版本保留
Git包恢复,任务记录/README.md,06360894eabaed34f8d1c024f88cccfafe4d17d24ed4af9b586a6cd48bac0367,任务记录/README.md,06360894eabaed34f8d1c024f88cccfafe4d17d24ed4af9b586a6cd48bac0367,1011,保留
Git包恢复,任务记录/任务记录模板.md,1f49db99b2983d912b254697c6523b070f4c1cbeb4d8286b4e08f3b9974e88aa,任务记录/任务记录模板.md,1f49db99b2983d912b254697c6523b070f4c1cbeb4d8286b4e08f3b9974e88aa,1031,保留
